"year","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2026,"a8",0,163.587948292018,47.4455985841695,2982551.05872874,15386874.6847856,13015412.2342534,4997429408.94332,6606369982.41109,6298772222.94104,0,1096.82783805687,314.870958842437,0,2853.52949331382,827.612402389072,0,19132.4031975504,5492.41907503487,768698.72647648,3965689.35174886,3354487.68924058,722576.802887891,3727747.99064393,3153218.42788614,132312.268294764,682594.279669773,577391.193510534,4556256.90335936,Inf,20004297.1447645,261202.388290832,Inf,1146812.02160471,0,1.42686308729097e-08,9.38655878369674e-10
2027,"a1",213.514616877234,409.430653846469,306.833761578917,21565688.7634812,29108307.6874399,25288393.9842721,5294599247.17661,6250869214.08978,5766572077.06535,1117.55188355403,2152.28064944438,1600.04611580796,3614.34693282745,6930.78745417408,5194.04095733791,18917.7691048735,36433.5195298407,27085.3670612075,5645468.26269141,7619975.83440836,6619998.42520211,5137376.11904918,6934178.00931161,6024198.56693392,971726.224715759,1311588.34049754,1139467.22893791,2459994.81923671,5593359.29371871,3604003.67220257,145322.200970458,330423.168791053,212903.597135459,1.46660817283392e-09,3.81240412539014e-09,2.41698866530941e-09
2027,"a2",160.584200143921,308.891712050704,230.726386797932,23053435.6938846,31116395.4367428,27032958.2751488,5455463646.57775,6467996080.98831,5955205157.82222,1170.92212026936,2254.55489177737,1676.15349058895,2718.34790394912,5228.87766821233,3905.70547647777,19821.2133476967,38164.8042516545,28373.7025420676,5911137.3574063,7978562.93249816,6931527.76285868,5615580.48953598,7579634.78587326,6584951.37471574,1017454.51764356,1373310.14475625,1193089.21618205,2419751.97253989,5523848.22954782,3552899.65463112,142944.887404767,326316.858989861,209884.668699577,1.46758524082073e-09,3.81407968629345e-09,2.4181588070242e-09
2027,"a3",0,118.096041157694,25.6896295731124,21400414.3181744,29304675.1152207,25368699.2529843,7193985409.09865,8196105135.29282,7697093380.15879,0,616.650877461719,133.960141345889,0,1999.11402029584,434.870620152622,0,10438.5837380896,2267.65939061229,5602202.70109278,7671380.92021484,6641020.74685452,5098004.45799443,6980956.63739551,6043328.87963761,964279.139925594,1320436.44089198,1143085.69605233,11666220.9883018,Inf,57458086.4339688,689172.553442128,Inf,3394289.90615759,0,1.10072932088201e-09,2.0171619161006e-10
2027,"a4",0,88.7709497172632,19.3179021422868,22876759.50058,31326309.6165479,27118803.54392,7353616980.98974,8414696760.80297,7886325479.98533,0,645.902678538626,140.331868776715,0,1502.70278694433,327.010868753687,0,10933.7543219507,2375.51914201123,5865835.7693795,8032387.08116613,6953539.37023591,5572543.98091052,7630767.72710782,6605862.40172411,1009656.98180445,1382574.62634572,1196877.96410186,11385023.2013707,Inf,56197680.1757941,672561.021992833,Inf,3319832.42757976,0,1.10112642755927e-09,2.01813581983004e-10
2027,"a5",213.514616877234,409.430653846469,306.833761578917,10799681.3055107,14575123.9337221,12662694.4781694,3929660928.08454,4408319923.52897,4165857872.79801,1117.55188355403,2152.28064944438,1600.04611580796,3614.34693282745,6930.78745417408,5194.04095733791,18917.7691048735,36433.5195298407,27085.3670612075,2827141.70301328,3815477.46956075,3314841.48643177,2572698.94974208,3472084.49730029,3016505.75265291,486621.76563116,656739.059448145,570567.090852068,1825812.50688612,3944622.15884748,2603586.12895005,107858.394654021,233025.358280397,153804.741260623,2.92899615439921e-09,7.61292101895847e-09,4.8269159245087e-09
2027,"a6",160.584200143921,308.891712050704,230.726386797932,11544716.2954813,15580614.4668769,13536252.705182,4010218719.02681,4517039778.64278,4260312391.00844,1170.92212026936,2254.55489177737,1676.15349058895,2718.34790394912,5228.87766821233,3905.70547647777,19821.2133476967,38164.8042516545,28373.7025420676,2960183.66550802,3995029.35048126,3470834.02696974,2812174.48223262,3795277.8829572,3297292.32562125,509521.613425568,687644.426951587,597417.306892166,1778718.5992466,3857677.38131351,2541719.72610426,105076.360213559,227889.165986282,150150.033633855,2.9309474788422e-09,7.61626691629774e-09,4.82925278928516e-09
2027,"a7",0,118.096041157694,25.6896295731124,2199247.61464747,14584270.9392463,9680420.76102661,4759618880.25924,6329819624.09013,5708098615.121,0,616.650877461719,133.960141345889,0,1999.11402029584,434.870620152622,0,10438.5837380896,2267.65939061229,575719.270850122,3817871.97362469,2534141.56047817,523904.536473611,3474263.49599847,2306068.82003514,99095.6794950772,657151.21346015,436189.116097305,7718498.51223914,Inf,42610425.4427629,455964.046433978,Inf,2517176.36200194,0,1.07109646781696e-08,5.28621381832403e-10
2027,"a8",0,88.7709497172632,19.3179021422868,2350966.5754362,15590392.4946486,10348241.5957879,4776023672.63776,6438607709.23203,5780307534.05475,0,645.902678538626,140.331868776715,0,1502.70278694433,327.010868753687,0,10933.7543219507,2375.51914201123,602811.942419539,3997536.53708939,2653395.28097126,572671.345298563,3797659.71023492,2520725.5169227,103759.005588963,688075.976446511,456715.662737178,7394339.47455313,Inf,41190269.7829238,436814.613901591,Inf,2433281.81694249,0,1.07148288394243e-08,5.28876604941225e-10
2028,"a1",213.824212717256,410.02432761486,307.278670023839,21596959.0045687,29150514.7233068,25325062.1466176,5145570460.5669,6074923989.97851,5604258519.81809,1119.17233192996,2155.40145281312,1602.36618001968,3512.61274574899,6735.70434771855,5047.84261382869,18385.2845656218,35408.0135226252,26322.986511995,5653654.18967767,7631024.79667717,6629597.42058053,5144825.31260668,6944232.56497622,6032933.65272828,973135.22739827,1313490.14312806,1141119.45601742,2387290.98648939,5428050.54830349,3497489.26911903,145322.201068381,330423.169045632,212903.597289932,1.46660817091997e-09,3.81240412041545e-09,2.41698866215525e-09
