"variable","region","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"p_prevent","Guangxi","a7",14.9492224563004,15.3563097123327,15.1482757981125,9882328.40524003,9882328.40524003,9882328.40524003,2902107530.44299,2902107530.44299,2902107530.44299,77.6372847022034,78.0443719582358,77.8453186164236,268.675110511095,275.991491936408,272.252599491898,1395.33718948404,1402.65357090935,1399.07608192855,2685415.32751088,2685415.32751088,2685415.32751088,2255748.87510914,2255748.87510914,2255748.87510914,289646.211809996,289646.211809996,289646.211809996,37185353.1218882,37380332.6787473,37280437.437001,2069012.32822694,2079861.09186706,2074302.86882082,0.000000000289107177972972,0.000000000290623097137735,0.0000000002898818585674
"p_prevent","Guizhou","a2",55.0876841124319,92.5683196598475,74.0028772473343,10941701.2160087,10948466.1316909,10945131.6859211,2205459265.0188,2206337236.80982,2205904482.07021,415.510005031658,697.803714962594,558.758173077766,874.875656201341,1469.87232371477,1175.20491368036,6551.64318559147,11002.7698458591,8810.33942073084,2770050.9407617,2771763.57764326,2770919.41415725,2700799.66724265,2702469.48820218,2701646.42880332,555450.614641535,555794.032589026,555624.760926812,3160572.54744913,5309949.72465638,3947869.73749232,200445.823725816,336760.897123038,250376.787627465,0.0000000014990816979598,0.00000000251910065874354,0.00000000201650820382197
"p_prevent","Guizhou","a3",11.4015099562453,11.6988041625796,11.5478710303047,10304314.2732648,10304314.2732648,10304314.2732648,2716568961.27013,2716568961.27013,2716568961.27013,59.7834171827103,60.0807113890445,59.9343503149852,204.913797610581,210.256921903888,207.544274067031,1074.45830386146,1079.80142815477,1077.17095169832,2628651.60032266,2628651.60032266,2628651.60032266,2523505.53630976,2523505.53630976,2523505.53630976,527097.2188967,527097.2188967,527097.2188967,45215326.1581633,45440175.3745146,45325743.0337226,2515804.19365843,2528314.92065084,2521947.84587076,0.000000000227429976552891,0.000000000228560952625558,0.000000000228004161173844
"p_prevent","Guizhou","a7",11.4015099562453,11.6988041625796,11.5478710303047,4461022.00440088,4461022.00440088,4461022.00440088,1968434093.6871,1968434093.6871,1968434093.6871,59.7834171827103,60.0807113890445,59.9343503149852,204.913797610581,210.256921903888,207.544274067031,1074.45830386146,1079.80142815477,1077.17095169832,1138015.8174492,1138015.8174492,1138015.8174492,1092495.18475124,1092495.18475124,1092495.18475124,228194.931714915,228194.931714915,228194.931714915,32763162.2225771,32926088.6454711,32843170.6248919,1822959.3352649,1832024.64591954,1827411.04425772,0.000000000525330283340976,0.000000000527942674151155,0.0000000005266565665961
"p_prevent","Hunan","a2",142.66477872656,239.681648867771,191.67499194641,23440786.57115,23451686.6470025,23446313.9692747,4459935078.36788,4461379916.13813,4460667751.5795,667.93272014326,1121.6772103761,898.189501592823,2296.25660214611,3858.37439156028,3085.36568086401,10495.5500651509,17625.4568213338,14113.6863005281,5919390.54827021,5922143.09267739,5920786.35587745,5801002.73730481,5803700.23082385,5802370.6287599,1368515.73963569,1369152.10588227,1368838.43918802,3976130.59899155,6679385.18595292,4966288.00901044,253039.403379865,425073.472895105,316052.63547714,0.00000000112785643590602,0.00000000189492009562349,0.00000000151701049084672
"p_prevent","Hunan","a3",30.5685307045757,31.0184094058874,30.7892602964641,21318595.0045794,21318595.0045794,21318595.0045794,5205389771.83176,5205389771.83176,5205389771.83176,92.1022112737857,92.5520899750974,92.3313603832089,549.393346563322,557.478797828541,553.360412247476,1655.30828310348,1663.3937343687,1659.42666868455,5383483.587015,5383483.587015,5383483.587015,5275813.9152747,5275813.9152747,5275813.9152747,1244618.33744917,1244618.33744917,1244618.33744917,56242811.7315595,56517533.0737507,56377267.1628306,3129379.21087417,3144664.84881738,3136860.38079535,0.000000000171082923882106,0.000000000171918588548006,0.000000000171508575982126
"p_prevent","Hunan","a7",30.5685307045757,31.0184094058874,30.7892602964641,9228994.6897405,9228994.6897405,9228994.6897405,3623318331.03284,3623318331.03284,3623318331.03284,92.1022112737857,92.5520899750974,92.3313603832089,549.393346563322,557.478797828541,553.360412247476,1655.30828310348,1663.3937343687,1659.42666868455,2330554.21458093,2330554.21458093,2330554.21458093,2283943.13028931,2283943.13028931,2283943.13028931,538805.489977395,538805.489977395,538805.489977395,39148962.8382001,39340188.2639067,39242553.2992771,2178268.59400067,2188908.47585176,2183476.0157887,0.000000000395194459315966,0.00000000039712481003897,0.000000000396177698015111
"p_prevent","Shaanxi","a2",56.4359687437749,94.6342212240616,75.754953958816,7857002.35661647,7863901.55508668,7860500.92095695,1973893415.98742,1974919676.85375,1974413830.01616,426.071538689641,715.579101989811,572.915332222361,896.370322406277,1502.96073533079,1203.17640560361,6718.07522959941,11283.0039697369,9033.43013593601,1999437.36288994,2001193.05985559,2000327.67193427,1929063.8154183,1930757.71768775,1929922.7885442,557015.257178056,557504.369772928,557263.284813482,2758455.92821061,4635183.29087999,3446257.62127421,174943.961845779,293971.057089742,218567.454477975,0.00000000212908762895864,0.00000000357890232157876,0.00000000286410741730311
"p_prevent","Shaanxi","a3",11.7273972127708,11.9883379975527,11.8538596050056,7245629.85524109,7245629.85524109,7245629.85524109,2506446364.08729,2506446364.08729,2506446364.08729,61.2911292517346,61.5520700365165,61.4256076442817,210.770810570292,215.460572477514,213.043657684991,1101.55567844916,1106.24544035639,1103.97259324169,1896761.74220971,1896761.74220971,1896761.74220971,1726053.18541084,1726053.18541084,1726053.18541084,528411.266715234,528411.266715234,528411.266715234,40720748.5077319,40894112.9766564,40804583.9546631,2265723.56608296,2275369.65504641,2270388.21383002,0.00000000032313562577623,0.000000000324511343026188,0.000000000323844615152989
"p_prevent","Shaanxi","a7",11.7273972127708,11.9883379975527,11.8538596050056,3137071.41513338,3137071.41513338,3137071.41513338,1894745584.3966,1894745584.3966,1894745584.3966,61.2911292517346,61.5520700365165,61.4256076442817,210.770810570292,215.460572477514,213.043657684991,1101.55567844916,1106.24544035639,1103.97259324169,821222.883542769,821222.883542769,821222.883542769,747312.82402392,747312.82402392,747312.82402392,228781.198234646,228781.198234646,228781.198234646,30782808.4948649,30913863.1891495,30846183.8158631,1712771.42962613,1720063.38078538,1716297.66535499,0.000000000746339763296947,0.000000000749517229366282,0.000000000747977301597961
