"year","variable","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2025,"p_transmission","a7",65.6430364497514,101.038373094126,82.7276522521502,11778329.1207398,11778329.1207398,11778329.1207398,6020248194.78042,6020248194.78042,6020248194.78042,339.28967974436,522.238636182434,427.594580580714,1133.79534528415,1745.14835548315,1428.88312489282,5860.25693512175,9020.17589153479,7385.47104691374,3083332.23056017,3083332.23056017,3083332.23056017,2805832.32980975,2805832.32980975,2805832.32980975,530718.560185169,530718.560185169,530718.560185169,11527772.5117935,17743682.0339375,14079336.9892676,667420.266209029,1027301.06570922,815147.491140213,1.10039935489767e-09,1.69374753393849e-09,1.38679373031115e-09
2025,"suspect_bite_incidence","a2",130.376817157225,219.058251791306,178.050110343793,24770461.6507701,24784114.4137966,24777801.0532336,5844848421.75792,5846673226.0842,5845829393.40019,855.390700143428,1437.22704465912,1168.17190474106,2251.8859032211,3783.60355735809,3075.30542846921,14774.4231022031,24823.9786195506,20176.822092942,6384139.60071395,6387658.3540713,6386031.19928701,6001091.22467112,6004398.85282702,6002869.32732979,1098870.02877289,1099475.69419452,1099195.62017728,4066753.71402031,6835090.94160582,5004254.39926667,235451.718329901,395729.375396888,289729.936977792,1.33913032402277e-09,2.251246267388e-09,1.82926119257214e-09
2025,"suspect_bite_incidence","a3",12.3962142856661,175.610698622222,82.0810533524396,23538417.1967871,23557912.7387356,23546740.7892163,7603414700.73617,7606039229.46662,7604535239.34591,64.0719705555117,907.687192341485,424.252541505845,214.109078683339,3033.17158145763,1417.71498182072,1106.65968407221,15677.6951419454,7327.74689898002,6161889.31853067,6166992.86354334,6164068.26942836,5607319.27986291,5611963.50582444,5609302.12517981,1060615.19895209,1061493.6466374,1060990.25087536,8376690.52167881,118710867.84941,17924548.4596376,484982.94117184,6872970.38008871,1037772.63928213,1.03894997080795e-10,1.47306636880314e-09,6.88267103740544e-10
2025,"suspect_bite_incidence","a7",12.3962142856661,175.610698622222,82.0810533524396,11769948.9329553,11789444.4749038,11778272.5253845,6019120037.1911,6021744565.92155,6020240575.80083,64.0719705555117,907.687192341485,424.252541505845,214.109078683339,3033.17158145763,1417.71498182072,1106.65968407221,15677.6951419454,7327.74689898002,3081138.46412443,3086242.00913711,3083317.41502213,2803836.00235323,2808480.22831477,2805818.84767014,530340.958137418,531219.405822725,530716.010060684,6631271.31017909,93984070.0030341,14190228.6652958,383928.886401613,5441369.78385546,821567.755927654,2.07605140380503e-10,2.94594742466214e-09,1.37596129233681e-09
2026,"non_suspect_bite_incidence","a2",124.776526549499,205.17132363726,165.468081362419,21420832.4659284,29062144.3575001,25265647.8765139,5234657918.09622,6223464191.93107,5732187354.62101,895.441990266646,1472.38291992464,1187.44483343154,2091.46241816913,3439.01312642419,2773.52065445389,15009.0992439216,24679.5902028487,19903.5532679774,5492521.14510985,7451831.88653848,6478371.25038817,5217895.08785436,7079240.29221155,6154452.68786876,945400.202102034,1282646.56347044,1115089.65147306,3555228.63465717,6950158.98246835,4827329.39942637,212104.734117181,414646.081739478,287998.191953165,1.20164008515039e-09,2.68070505515586e-09,1.83293730404905e-09
2026,"non_suspect_bite_incidence","a3",39.8696509081452,39.8706074636724,39.8701123947723,19949544.7785228,27309903.7178433,23608982.5499418,6916077820.59149,7877659495.50457,7394158893.87757,206.076233372321,206.077189927848,206.076728441221,668.281757841919,668.297791305836,668.289493126463,3454.18092084076,3454.19695430467,3454.18921902013,5222393.92107927,7149189.45493281,6180361.92406852,4752378.46818214,6505762.40398886,5624129.35090236,898904.55366577,1230554.23493031,1063794.79618029,33560617.858837,38226919.0706329,35880610.8278577,2002224.51472333,2280615.77434315,2140635.16068038,2.88251185216713e-10,3.94602921652566e-10,3.33437962004596e-10
2026,"non_suspect_bite_incidence","a7",39.8696509081452,39.8706074636724,39.8701123947723,9977153.55375465,13657333.0234149,11806872.4394641,5613251594.87941,6094042432.33595,5852292131.52245,206.076233372321,206.077189927848,206.076728441221,668.281757841919,668.297791305836,668.289493126463,3454.18092084076,3454.19695430467,3454.18921902013,2611820.30203001,3575218.06895678,3090804.30352464,2376756.47484731,3253448.44275067,2812631.91620742,449559.569486916,615384.410119186,532004.690744178,27238587.6226511,29571786.7733236,28398607.5273496,1625052.5575515,1764251.08353984,1694259.27777709,5.76401856887159e-10,7.89017490091783e-10,6.66741431045049e-10
2026,"p_prevent","a2",123.400103365879,207.294538363051,165.747516600049,25218003.9800956,25232235.1883168,25225220.5861723,5726022106.5122,5727863663.06336,5726955954.71336,885.007748295222,1486.49838779883,1190.07112590616,2068.39127298144,3474.60174174707,2778.20445447604,14834.2039687542,24916.1889557562,19947.5743043189,6466154.86669117,6469803.89444021,6468005.27850572,6142847.12335662,6146313.6997182,6144605.01458044,1112986.90642922,1113614.99533052,1113305.4085628,3852020.39471508,6472105.66698072,4812280.40076399,229811.313306377,386125.448667699,287100.369565907,1.3679050597743e-09,2.29889079127407e-09,1.83993530410522e-09
2026,"p_prevent","a3",39.3791971367881,40.3863670362392,39.8650244205701,23575827.4142123,23575827.4142123,23575827.4142123,7389827397.11097,7389827397.11097,7389827397.11097,205.560473799754,206.567643699205,206.081816415423,660.060935712881,676.942780813591,668.204210204083,3445.535931333,3462.41777643371,3454.27450194251,6171682.56916552,6171682.56916552,6171682.56916552,5616231.13794062,5616231.13794062,5616231.13794062,1062300.86221762,1062300.86221762,1062300.86221762,35774370.3939989,35949651.5089264,35858706.6323912,2134296.862559,2144754.12370813,2139328.35764943,3.33070392872698e-10,3.34702313970655e-10,3.33915126233215e-10
2026,"p_prevent","a7",39.3791971367881,40.3863670362392,39.8650244205701,11790294.8715994,11790294.8715994,11790294.8715994,5850126383.13915,5850126383.13915,5850126383.13915,205.560473799754,206.567643699205,206.081816415423,660.060935712881,676.942780813591,668.204210204083,3445.535931333,3462.41777643371,3454.27450194251,3086464.62607314,3086464.62607314,3086464.62607314,2808682.80972655,2808682.80972655,2808682.80972655,531257.723762839,531257.723762839,531257.723762839,28320632.7882495,28459393.3600193,28387397.2235685,1689607.30936542,1697885.75702819,1693590.47170378,6.66006252147739e-10,6.6926943517904e-10,6.67695377664569e-10
2026,"p_transmission","a2",112.551885701219,220.386750243892,164.809814599075,25218329.2351206,25232406.1289753,25225080.9395589,5726064195.38567,5727885783.24351,5726937884.06666,807.695297138385,1581.5714501008,1182.720983148,1886.55707565945,3694.04901982645,2762.48700706254,13538.3185123906,26509.7718377571,19824.3736689752,6466238.26541555,6469847.72537829,6467969.47168176,6142926.35214477,6146355.33910938,6144570.99809767,1113001.26143465,1113622.53973074,1113299.24531322,3620490.36420121,7091641.86486792,4842171.53975193,215998.245116173,423086.942296506,288883.673184046,1.2483992381616e-09,2.44589108100111e-09,1.8285815793136e-09
