"region","variable","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"Guizhou","non_suspect_bite_incidence","a3",14.7354429376356,14.7358043042376,14.7356172775977,12837175.4694265,17573897.0147294,15192188.0277102,3111787191.75694,3738569222.16598,3423411917.59364,76.4666233201083,76.4669846867103,76.4668103467482,261.524779307624,261.531192845462,261.527873494904,1357.13034707047,1357.13676060831,1357.13366642103,3274789.66056798,4483136.99355342,3875558.17033422,3143798.07414526,4303811.51381128,3720535.84352085,656660.822737091,898958.629947331,777126.924315418,40694519.3995306,48891517.1069526,44769906.0817335,2292906.12565984,2754760.60957308,2522531.12740303,1.70564993731096e-10,2.33501972989154e-10,1.97305283486827e-10
"Guizhou","non_suspect_bite_incidence","a7",14.7354429376356,14.7358043042376,14.7356172775977,5623317.03297655,7697859.25573935,6654742.02610092,2173777058.44098,2454386142.43081,2313290836.15499,76.4666233201083,76.4669846867103,76.4668103467482,261.524779307624,261.531192845462,261.527873494904,1357.13034707047,1357.13676060831,1357.13366642103,1434519.65126953,1963739.60605596,1697638.27196452,1377138.86521875,1885190.02181372,1629732.74108594,287649.880472566,393769.06580634,340410.426294326,28427654.9853126,32097483.0045279,30252220.8741947,1601737.65941365,1808511.72308459,1704541.63314325,3.89392886329194e-10,5.33049405207089e-10,4.50430528161104e-10
"Guizhou","p_prevent","a2",43.0702480229056,72.3078450237129,57.8403077064244,16051492.3688852,16056646.7119995,16054106.1219315,2922999821.03766,2923679143.06946,2923344303.34911,316.64448856509,531.770978706354,425.808106167327,670.142398295444,1124.70126088957,899.854523283284,4871.83017833119,8181.72756774173,6551.39905906723,4064425.14847154,4065730.28828635,4065086.9812388,3961321.03597106,3962593.06771341,3961966.07972693,814998.530771513,815260.237407178,815131.241478004,5496726.85814573,9233317.64376649,6865403.12645044,357259.490350453,600119.264434407,446216.796899764,7.78813315475857e-10,1.30835471015214e-09,1.04747600268461e-09
"Guizhou","p_prevent","a3",14.5469092457245,14.9262196927987,14.7336477803238,15170851.2088074,15170851.2088074,15170851.2088074,3420588543.96984,3420588543.96984,3420588543.96984,76.2762079315472,76.6555183786215,76.4687798440221,258.178681577288,264.91068694557,261.492918838835,1353.75085297036,1360.48285833865,1357.1686210771,3870115.10428761,3870115.10428761,3870115.10428761,3715310.50011611,3715310.50011611,3715310.50011611,776035.480711752,776035.480711752,776035.480711752,44622861.0323221,44844764.006092,44731831.0942978,2514245.9701013,2526748.94827544,2520385.81709555,1.97090282526849e-10,1.9807038373018e-10,1.97587869568283e-10
"Guizhou","p_prevent","a7",14.5469092457245,14.9262196927987,14.7336477803238,6645397.13823074,6645397.13823074,6645397.13823074,2312026817.32882,2312026817.32882,2312026817.32882,76.2762079315472,76.6555183786215,76.4687798440221,258.178681577288,264.91068694557,261.492918838835,1353.75085297036,1360.48285833865,1357.1686210771,1695254.37199764,1695254.37199764,1695254.37199764,1627444.19711773,1627444.19711773,1627444.19711773,339932.406672967,339932.406672967,339932.406672967,30161257.3527861,30311244.8825945,30234911.8430397,1699416.35292058,1707867.3023591,1703566.36708408,4.49939603114933e-10,4.52177087078046e-10,4.5107555011885e-10
"Guizhou","p_transmission","a2",39.276467020761,76.9068466548331,57.5125534974083,16051610.1716727,16056708.6242976,16054055.5438955,2923015346.97903,2923687302.86543,2923337637.36406,288.994642697457,565.888729494294,423.179415578697,611.043228681355,1196.47770326591,894.75104587795,4446.41423856995,8706.65172320732,6510.95453247305,4064454.97751181,4065745.96520259,4065074.17428999,3961350.10832456,3962608.34694623,3961953.59765779,815004.512090668,815263.380942424,815128.673428628,5165353.53088085,10116752.5998957,6908033.63714278,335722.093854727,657538.219787129,448987.5674579,7.10803491341735e-10,1.39228686902745e-09,1.041012777221e-09
"Guizhou","p_transmission","a3",11.7169415359137,18.0348250286233,14.7664571564773,15170851.2088074,15170851.2088074,15170851.2088074,3420588543.96984,3420588543.96984,3420588543.96984,60.8022165604033,93.5874820014153,76.6268464785185,207.952388150733,320.082243569064,262.075219954187,1079.11830914567,1660.99150734478,1359.973989187,3870115.10428761,3870115.10428761,3870115.10428761,3715310.50011611,3715310.50011611,3715310.50011611,776035.480711752,776035.480711752,776035.480711752,36549637.5243658,56257629.0384363,44639557.8203622,2059365.4626434,3169799.37693569,2515186.7397219,1.57106997910842e-10,2.41820926457024e-10,1.97996298336515e-10
"Guizhou","p_transmission","a7",11.7169415359137,18.0348250286233,14.7664571564773,6645397.13823074,6645397.13823074,6645397.13823074,2312026817.32882,2312026817.32882,2312026817.32882,60.8022165604033,93.5874820014153,76.6268464785185,207.952388150733,320.082243569064,262.075219954187,1079.11830914567,1660.99150734478,1359.973989187,1695254.37199764,1695254.37199764,1695254.37199764,1627444.19711773,1627444.19711773,1627444.19711773,339932.406672967,339932.406672967,339932.406672967,24704445.166009,38025370.5887838,30172542.9608666,1391955.83307031,2142514.67863541,1700052.23313937,3.5866131693709e-10,5.52055688793975e-10,4.52007956706955e-10
"Guizhou","suspect_bite_incidence","a2",53.6067586002571,61.5460516018167,57.4713961383353,16053347.0916315,16054731.2191635,16054036.7401544,2923244837.63284,2923429870.47548,2923335210.177,393.978344481087,451.95596884782,422.87560119919,833.899346436783,958.809883978112,894.141935960623,6064.74174229987,6969.40020183059,6506.53045570609,4064894.73268798,4065245.1937423,4065069.41189297,3961778.81312778,3962120.41583944,3961948.95818423,815092.691798593,815162.966249206,815127.718472778,6467985.90819615,7420280.61041264,6912990.96445152,419439.945042188,482036.992620044,449292.480851034,9.69137962668387e-10,1.11185159412223e-09,1.04026661872489e-09
"Guizhou","suspect_bite_incidence","a3",7.81261222517162,24.7440733311635,14.6486825119146,15169999.819203,15172082.061369,15170840.5174715,3420461546.0232,3420754048.70346,3420587110.11831,40.5420021161371,128.403080898076,76.0156845908035,141.294754256538,418.216028201203,260.170414208267,733.221112345915,2170.22264507927,1350.08948258873,3869897.91306199,3870429.09728802,3870112.37690599,3715101.99653951,3715611.9333965,3715307.88182975,775991.929527191,776098.442588194,776034.933817188,26638469.4362459,84375557.9436931,44998438.5266213,1576087.85152929,4665378.54830567,2533600.29407792,1.04748081148275e-10,3.31799659274419e-10,1.9641725404257e-10
"Guizhou","suspect_bite_incidence","a7",7.81261222517162,24.7440733311635,14.6486825119146,2908335.69013822,6176178.67723547,4139013.33131939,1826605303.44409,2257272636.65864,1996767196.09952,40.5420021161371,128.403080898076,76.0156845908035,141.294754256538,418.216028201203,260.170414208267,733.221112345915,2170.22264507927,1350.08948258873,741922.369933218,1575555.78500905,1055870.74778556,712245.47513589,1512533.55360869,1013635.91787414,148770.273619009,315930.446010014,211723.20234596,14225556.6663079,55677384.4121567,26267831.5251415,841667.239804038,3078570.15932966,1478988.77952209,2.57318734772087e-10,1.7306808111155e-09,7.19933616403605e-10
"Hunan","non_suspect_bite_incidence","a2",113.345395571481,186.374930026138,150.308438544903,21957748.2227133,29796351.0584083,25901855.6296321,4345542139.38109,5400345167.29821,4876281675.8076,513.490892671293,844.337469354628,680.939863506826,1786.17227102245,2937.0202937126,2368.66010976678,7871.08288445266,12942.4889488616,10437.8367396306,5544885.91482659,7524331.07535563,6540872.63374547,5433988.19653005,7373844.45384851,6410055.18107056,1281933.26442059,1739565.14997362,1512197.42594088,5146688.73182025,10516924.9238373,7161104.72765517,335757.84043944,686099.390207824,467173.59137198,6.82440588443968e-10,1.52273190526235e-09,1.04105354382493e-09
"Hunan","non_suspect_bite_incidence","a3",39.2860099732519,39.286556285042,39.2862735393265,20021697.4285797,27409400.395109,23694730.1573663,5141839581.59705,6141010922.30091,5638609559.04445,117.800051175484,117.800597487274,117.8003339212,697.248473060933,697.258169007703,697.253150834094,2090.71641188628,2090.72610783305,2090.72143005989,5055984.19913629,6921565.75634065,5983517.71650663,4954864.51515356,6783134.44121384,5863847.3621765,1168903.09896672,1600210.63033991,1383341.4279146,43648671.4946629,52130800.122937,47865819.8271008,2459355.89665848,2937275.89614144,2696968.36602613,1.70192779094197e-10,2.32992416209287e-10,1.96874714010165e-10
"Hunan","non_suspect_bite_incidence","a7",39.2860099732519,39.286556285042,39.2862735393265,8770488.57854336,12006081.295334,10379166.9457759,3646510122.55338,4093837169.37887,3868913065.78289,117.800051175484,117.800597487274,117.8003339212,697.248473060933,697.258169007703,697.253150834094,2090.71641188628,2090.72610783305,2090.72143005989,2214769.84306651,3031838.71094293,2621001.75398382,2170474.44620518,2971201.93672407,2568581.71890414,512037.069558232,700936.855260318,605954.637507027,30954937.4140255,34752422.6732328,32842971.9763861,1744135.73776664,1958102.56527586,1850515.81246386,3.88543265017047e-10,5.31886407321543e-10,4.49447749289552e-10
