"region","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"Guizhou","a6",41.3201858991745,77.7870051760034,58.9103695052693,7183222.65244563,9959494.24383933,8570679.66539825,1766348173.89429,2136936636.46676,1951549293.28657,293.540554345739,560.827993941927,423.697135870356,645.020858122707,1214.7170299794,919.778937169391,4513.94142626065,8624.18489239577,6515.43805133924,1820734.30564955,2524437.22611105,2172413.54445693,1770877.02057327,2455309.89580861,2112926.2882422,365093.642968848,506200.152579788,435612.363934503,3149536.38722463,7279868.50481255,4606000.67375418,204813.347108518,473408.144827657,299526.950898633,1.16279601373944e-09,3.08022973039908e-09,1.9503521185064e-09
"Guizhou","a7",7.8903471032557,22.9467749903298,14.0826772190012,3423073.2274857,7084953.92900647,4759389.76610324,1908204357.78361,2392619110.59951,2093028385.82764,41.1299333734994,119.803364341672,73.7792747489477,142.987988861093,402.176296126364,249.489646532578,745.175417763606,2099.95673015968,1307.07055286651,873232.966195331,1807386.2063792,1214130.04237328,838303.647547518,1735090.75812403,1165564.84067835,175100.674381488,362417.082103158,243457.356096689,15927802.7647164,58172209.7352365,28368785.0409167,908687.465021484,3210813.25760873,1601312.47792053,2.27565825324608e-10,1.37195191866901e-09,6.0767193112799e-10
"Guizhou","a8",7.6945126621224,20.5501254076086,13.0872373289786,3528941.31227912,7393126.8082714,4932299.14865358,1921511878.60471,2433575533.84307,2114864548.40857,41.3600896769448,121.784079171554,74.7747146389704,139.521524684484,357.705683050174,232.721920875986,748.076872193567,2135.76091421421,1323.83827852311,895674.032081517,1874622.42327958,1251303.50931896,868796.624058042,1821940.98085612,1214846.06500782,179600.556912986,375899.288316021,250911.379688639,15778021.9851064,58838739.2979859,28283151.0440344,899684.915954965,3253108.90404506,1597524.85082086,2.20631574461736e-10,1.35969197285459e-09,5.97574561903589e-10
"Hunan","a1",144.212044042135,277.119147055577,206.091063081234,19943078.7979434,27196940.3834706,23649145.1254899,4088053327.80707,5069122902.27813,4589291030.24433,434.450344278722,835.61812850486,621.545278389717,2221.78028287367,4269.39276136297,3175.10970371223,6693.29122416518,12873.819896634,9575.74004038128,5036131.00958168,6867914.23825016,5972006.34482068,4935408.38939004,6730555.95348516,5852566.21792426,1164313.20036721,1587806.82856953,1380680.09087178,4892250.64458771,11667899.3791429,7383679.33891178,317547.811032834,757343.843635069,479262.282694716,6.32579745767783e-10,1.65924620887547e-09,1.04076459819699e-09
"Hunan","a2",109.878991075178,211.020118844454,156.855802217322,21522855.3986173,29351326.3969361,25522495.0968615,4286841554.80172,5340216027.53153,4825020511.98914,468.865014901588,901.811015765044,670.780539253628,1729.50641992425,3320.55970542275,2469.37697345437,7186.58726918323,13822.6213497004,10281.4727706391,5435064.49460033,7411951.1103374,6445074.51940947,5326363.20470833,7263712.08813065,6316173.02902128,1256543.43063564,1713583.80110112,1490049.66829131,4753591.91655584,11389666.2318736,7193143.25570313,310132.314728758,743080.940578136,469292.73846525,6.32579745767163e-10,1.65924620887384e-09,1.04076459819597e-09
"Hunan","a3",20.8723940726919,61.1837062458868,37.8293674858918,20039874.3667215,27234355.1472826,23641500.0331876,5144297439.08748,6117330485.18027,5631407629.03682,63.1403340268493,185.050252745404,114.087795351909,378.519929510284,1058.53063353904,669.952173140556,1143.8686003437,3209.62243905705,2020.47447968663,5060574.33503067,6877362.41092994,5970075.76595648,4959362.84833006,6739815.16271134,5850674.25063735,1169964.30166441,1589991.17050771,1380233.75648301,27799461.8368076,96884670.9391652,49360298.4584503,1602773.39056703,5347931.12018475,2787170.87775849,9.18089381570218e-11,3.65670456541734e-10,1.91099409495736e-10
"Hunan","a4",20.4871831594521,56.4138128558738,36.0309902337899,21627138.6002249,29391540.9874939,25514070.9229453,5344028761.78443,6388776975.38639,5867039997.83842,63.4873570733737,189.909436630426,115.886172604011,371.245893291375,989.432464117031,639.790162969783,1150.11213932805,3274.75548674191,2050.6364898574,5461398.63642044,7422106.3099732,6442947.20276397,5352170.66369203,7273664.18377373,6314088.25870869,1262631.67355131,1715931.60201532,1489557.84970141,28139880.0217821,100630696.722857,50627610.4042749,1631886.34492564,5554916.5658916,2861082.41361022,8.55381941755062e-11,3.47730406207627e-10,1.79865159463509e-10
"Hunan","a5",144.212044042135,277.119147055577,206.091063081234,10738259.0513841,14641187.9917826,12733115.0065147,2862725774.93147,3397713262.06825,3136164122.4921,434.450344278722,835.61812850486,621.545278389717,2221.78028287367,4269.39276136297,3175.10970371223,6693.29122416518,12873.819896634,9575.74004038128,2711681.57863235,3697269.6948946,3215433.08245321,2657447.9470597,3623324.3009967,3151124.42080415,626919.087527171,854779.175302071,743382.405198523,3425878.01446294,7820717.15861833,5045753.27258087,222368.014926165,507629.676981824,327511.410007662,1.17505721824577e-09,3.08154960040075e-09,1.9330064176472e-09
"Hunan","a6",109.878991075178,211.020118844454,156.855802217322,11528690.0736416,15718874.199391,13670377.1081055,2962188180.82424,3533321885.70254,3254102741.99377,468.865014901588,901.811015765044,670.780539253628,1729.50641992425,3320.55970542275,2469.37697345437,7186.58726918323,13822.6213497004,10281.4727706391,2911285.37213171,3969412.67661388,3452115.43133977,2853059.66468908,3890024.4230816,3383073.12271298,673065.887753875,917696.455531716,798101.470802305,3284710.57576436,7535904.30807505,4851218.17280892,214300.030788911,491655.044787916,316501.615535717,1.18119493511961e-09,3.09763867327344e-09,1.94309997042392e-09
"Hunan","a7",20.8723940726919,61.1837062458868,37.8293674858918,5374757.34871463,10779068.7903744,7413702.23137565,3228471213.47028,3966600522.90352,3517021279.81885,63.1403340268493,185.050252745404,114.087795351909,378.519929510284,1058.53063353904,669.952173140556,1143.8686003437,3209.62243905705,2020.47447968663,1357261.95674612,2721987.06827636,1872147.02812516,1330116.7176112,2667547.32691084,1834704.08756266,313788.106304049,629301.634288949,432825.415726313,17446456.6547341,62821975.5888018,30827322.6682175,1005872.58307515,3467706.44959714,1740690.77099372,2.31964121956066e-10,1.36340852866046e-09,6.09395488911789e-10
"Hunan","a8",20.4871831594521,56.4138128558738,36.0309902337899,5588056.88940234,11417901.8125446,7745095.8050863,3256513518.39959,4046154531.47479,3561002714.92713,63.4873570733737,189.909436630426,115.886172604011,371.245893291375,989.432464117031,639.790162969783,1150.11213932805,3274.75548674191,2050.6364898574,1411125.4771218,2883308.53852137,1955832.27401169,1382902.96757937,2825642.36775094,1916715.62853146,326240.921306744,666597.867637833,452172.775093311,17147718.28183,63731658.0496265,30728452.1950282,994429.517435371,3518052.19084007,1736535.3306352,2.20189259058385e-10,1.34580120414078e-09,5.92515903044751e-10
"Shaanxi","a1",54.574798091263,108.903756998059,78.5715434737375,8573623.83318111,11622493.0547132,10091989.1445977,2147038629.49125,2616181106.87072,2380675959.27054,285.665725781099,566.920078745304,410.387205916884,840.798084137826,1677.80868536164,1210.50018563507,4401.06428866553,8734.1654525448,6322.56624958237,2244404.14481181,3042537.44887781,2641881.97502557,2042407.77177875,2768709.0784788,2404112.59727327,625259.573086543,847608.337733073,735991.331894474,3787198.07250968,9158190.39794596,5801048.19289297,245820.69588179,594442.829114861,376536.340671447,9.38906194520176e-10,2.52592689269356e-09,1.55338962828917e-09
"Shaanxi","a2",41.5074334174638,82.7604207736882,59.7143478370476,9181447.80813368,12446465.5154636,10807457.0816569,2217040557.76052,2711076444.12326,2463075037.41301,298.734106051886,593.026820775873,429.244401553574,648.135365722947,1292.4694125395,932.496068768578,4593.73421218759,9118.9777659774,6600.57036644886,2346166.60468799,3180487.69094046,2761666.28798125,2244557.29937885,3042745.06679134,2642062.25284719,653609.169733609,886039.343868339,769361.564503544,3738516.50564457,9075215.68244499,5738164.61786885,243123.803419307,590168.329053634,373160.93923231,9.39271379363683e-10,2.52764155619177e-09,1.554294968301e-09
"Shaanxi","a3",7.71614497947841,23.3315023990415,14.3567915413379,8551721.17391047,11733600.7223127,10068995.4072788,2764539403.81376,3254138964.39378,2998011709.29121,40.3748796001866,121.852256023398,74.9652496656618,139.521249932491,407.33569484798,254.284554205914,731.00250563555,2120.16523259922,1327.75560947986,2238670.46437447,3071623.2257363,2635862.6720625,2037190.12258077,2795177.13542004,2398635.03157688,623662.249988226,855711.227964974,734314.438359205,22687634.1401747,80598109.4338357,39992019.2710898,1303926.39276731,4451611.23157103,2257954.4668357,1.31444765952726e-10,5.44306354876784e-10,2.84404989911721e-10
"Shaanxi","a4",7.49903472024288,20.7746826524278,13.3346120909131,9157907.2108958,12565385.2638531,10782744.777209,2834353103.74361,3349934130.60232,3080213564.89088,40.5827753725026,124.238286735687,75.9874291160866,135.990691392456,368.526202598455,237.090153268621,734.672043729216,2168.29367307952,1344.95001041715,2340158.909661,3210881.43227591,2755359.61798573,2238794.6957869,3071811.19965065,2636012.77061877,651935.510006819,894506.614692018,767604.614536173,22813845.7009924,82545713.0483025,40535830.7383345,1307181.37442984,4559768.07501475,2290206.72964307,1.26391385756456e-10,5.30896796037173e-10,2.75780441217456e-10
"Shaanxi","a5",54.574798091263,108.903756998059,78.5715434737375,4618584.13499195,6258583.67503237,5435155.22800839,1548061244.5675,1803820142.57333,1675408086.91549,285.665725781099,566.920078745304,410.387205916884,840.798084137826,1677.80868536164,1210.50018563507,4401.06428866553,8734.1654525448,6322.56624958237,1209053.43847957,1638372.68979905,1422815.50471424,1100238.62901641,1490919.14771714,1294762.10928996,336825.361212269,456427.694160358,396376.480196321,2730651.64316218,6314443.70038136,4082505.65017568,177242.033366388,409859.984826596,264988.617086639,1.74359428449785e-09,4.68895799558892e-09,2.88433183752315e-09
"Shaanxi","a6",41.5074334174638,82.7604207736882,59.7143478370476,4922870.32444487,6670898.46465714,5793224.79191673,1583105304.8303,1851305650.74192,1716646275.86662,298.734106051886,593.026820775873,429.244401553574,648.135365722947,1292.4694125395,932.496068768578,4593.73421218759,9118.9777659774,6600.57036644886,1259997.3176635,1707402.81852805,1482763.84688509,1201437.84455894,1628046.41380052,1413848.54907327,351017.612738603,475658.521602455,413077.24904833,2669534.07395484,6197168.6969695,3999228.10793461,173605.566924049,403006.696780635,260075.445084632,1.7496404645122e-09,4.70657208918162e-09,2.89489390003207e-09
"Shaanxi","a7",7.71614497947841,23.3315023990415,14.3567915413379,2259350.0064344,4836122.54045392,3164054.62510298,1828643072.24182,2220450382.58329,1974282208.97742,40.3748796001866,121.852256023398,74.9652496656618,139.521249932491,407.33569484798,254.284554205914,731.00250563555,2120.16523259922,1327.75560947986,591452.88126555,1266000.66504029,828286.55107408,538222.121951651,1152060.60518667,753740.761477413,164770.492380245,352690.061270915,230749.037117524,15007051.4237396,54995839.1101439,26335965.2343258,862500.26371765,3037541.41123331,1486931.92849762,3.18916732945804e-10,2.06021916340432e-09,9.05064190266649e-10
